id,Company Name,RSP Type,Days,Santa Elena Border,,Corozal,,Sarteneja,,San Felipe,,Orange Walk,,Guinea Grass,,Burrell Boom Junction,,Pallotti Junction,,Belize City
49,Valencia's Bus Service,Regular,123456,5:30am,5:45am,6:00am,6:15am,,,,,7:15am,7:30am,,,8:30am,8:30am,9:00am,9:00am,9:15am
50,Amelio Tillett Sr.,Regular,123456,,,,,,,,,7:15am,7:30am,,,8:30am,8:30am,9:00am,9:00am,9:15am
51,Amelio Tillett Sr.,,123456,,,,,,,6:45am,7:00am,7:30am,,,,,,,,
52,Amelio Tillett Jr.,Regular,1234560,6:00am,6:15am,6:30am,6:45am,,,,,7:45am,8:00am,,,9:00am,9:00am,9:30am,9:30am,9:45am
53,Ovences Perez,Express,123456,,,,,6:15am,6:30am,,,8:00am,8:15am,,,9:15am,9:15am,9:45am,9:45am,10:00am
54,Amelio Tillett Jr.,Regular,1234560,6:30am,6:45am,7:00am,7:15am,,,,,8:15am,8:30am,,,9:30am,9:30am,10:00am,10:00am,10:15am
55,Amelio Tillett Jr.,Regular,1234560,7:00am,7:15am,7:30am,7:45am,,,,,8:45am,9:00am,,,10:00am,10:00am,10:30am,10:30am,10:45am
56,Arselito Sanchez,Regular,123456,,,,,,,,,9:15am,9:30am,10:30am,,,,,,
57,Rene Tillett,Regular,1234560,7:45am,8:00am,8:15am,8:30am,,,,,9:30am,9:45am,,,10:45am,10:45am,11:15am,11:15am,11:30am
58,Rudy Morales,Regular,1234560,,,9:15am,9:30am,,,,,10:30am,10:45am,,,11:45am,11:45am,12:15pm,12:15pm,12:30pm
59,Wilmer lino,Shuttle,123456,9:15am,9:30am,9:45am,10:00am,,,,,,,,,,,,,
60,Samuel Alamilla (Albions),Regular,1234560,9:45am,10:00am,10:15am,10:30am,,,,,11:30am,11:45am,,,12:45pm,12:45pm,1:15pm,1:15pm,1:30pm
61,Omar Tillett,Regular,1234560,10:45am,11:00am,11:15am,11:30am,,,,,12:30pm,12:45pm,,,1:45pm,1:45pm,2:15pm,2:15pm,2:30pm
62,Silva's Bus Line,Express to BVO,1234560,11:00am,11:15am,11:30am,11:45am,,,,,12:45pm,1:00pm,,,1:45pm,1:45pm,2:00pm,2:00pm,2:15pm
63,Omar Tillett,Regular,1234560,11:15am,11:30am,11:45am,12:00nn,,,,,1:00pm,1:15pm,,,2:15pm,2:15pm,2:45pm,2:45pm,3:00pm
61,Amelio Tillett Sr.,,123456,,,,,,,12:45pm,1:00am,1:30pm,,,,,,,,
64,Alfonso Lind,Regular,123456,11:45am,12:00nn,12:15pm,12:30pm,,,,,1:45pm,2:00pm,,,3:00pm,3:00pm,3:30pm,3:30pm,3:45pm
65,Chell's Bus Service,O/W only,1234560,12:00nn,12:15pm,12:30pm,12:45pm,,,,,1:45pm,,,,,,,,
66,Omar Tillett,Regular,123456,12:30pm,12:45pm,1:00pm,1:15pm,,,,,2:15pm,,,,,,,,
67, Omar Tillett,O/W Only,123456,12:45pm,1:00pm,1:15pm,1:30pm,,,,,2:30pm,,,,,,,,
68,Omar Tillett,Regular,1234560,1:00pm,1:15pm,1:30pm,1:45pm,,,,,2:45pm,3:00pm,,,4:00pm,4:00pm,4:30pm,4:30pm,4:45pm
69,Amelio Tillett Jr.,Regular to ShipYard,123456,1:15pm,1:30pm,1:45pm,2:00pm,,,,,3:00pm,,,,,,,,
70,Arselito Sanchez,Regular,123456,,,,,,,,,3:00pm,3:15pm,4:15pm,,,,,,
71,Andrew Chacon,Regular,123456,1:30pm,1:45pm,2:00pm,2:15pm,,,,,3:15pm,3:30pm,,,4:30pm,4:30pm,5:00pm,5:00pm,5:15pm
72,Carlos Marinez,Regular,1234560,2:00pm,2:15pm,2:30pm,2:45pm,,,,,3:45pm,4:00pm,,,5:00pm,5:00pm,5:30pm,5:30pm,5:45pm
73,Terrence Flowers,Regular,0,2:15pm,2:30pm,2:45pm,3:00pm,,,,,4:00pm,4:15pm,,,5:15pm,5:15pm,5:45pm,5:45pm,6:00pm
74,Samuel Alamilla (Albions),Regular,1234560,2:30pm,2:45pm,3:00pm,3:15pm,,,,,4:15pm,4:30pm,,,5:30pm,5:30pm,6:00pm,6:00pm,6:15pm
75,Michael Frazer,O/W  (Reg),123456,2:45pm,3:00pm,3:15pm,3:30pm,,,,,4:30pm,,,,,,,,
76,Ovences Perez,Regular,1234560,2:45pm,3:00pm,3:15pm,3:30pm,5:15pm,,,,,,,,,,,,
77,Silva's Bus Line,Express to BVO,1234560,3:00pm,3:15pm,3:30pm,3:45pm,,,,,4:45pm,5:00pm,,,5:50pm,5:50pm,6:05pm,6:05pm,6:20pm
78,Joshua's Bus Service,Regular,1234560,3:15pm,3:30pm,3:45pm,4:00pm,,,,,5:00pm,5:15pm,,,6:05pm,6:05pm,6:35pm,6:35pm,6:50pm
79,Amelio Tillett Jr.,Regular,1234560,,,,,,,,,4:45pm,5:00pm,5:45pm,,,,,,
80,Marvin Sanchez,Regular,1234560,,,,,,,,,5:00pm,5:15pm,6:15pm,,,,,,
81,Albion's Bus Service,Regular,1234560,3:30pm,3:45pm,4:00pm,4:15pm,,,,,5:15pm,5:30pm,,,6:30pm,6:30pm,7:00pm,7:00pm,7:15pm
82,BBOC,Regular,1234560,4:00pm,4:15pm,4:30pm,4:45pm,,,,,5:45pm,6:00pm,,,7:00pm,7:00pm,7:30pm,7:30pm,7:45pm
83,BBOC,Regular,1234560,4:30pm,4:45pm,5:00pm,5:15pm,,,,,6:15pm,6:30pm,,,7:30pm,7:30pm,8:00pm,8:00pm,8:15pm
84,BBOC,Regular,1234560,5:00pm,5:15pm,5:30pm,5:45pm,,,,,6:45pm,7:00pm,,,8:00pm,8:00pm,8:30pm,8:30pm,8:45pm
85,Carlos Walker,Regular,0,5:15pm,5:30pm,5:45pm,6:00pm,,,,,,,,,,,,,
86,Amelio Tillett Sr. A,Regular O/W,123456,,,,,,,,,7:00pm,7:15pm,8:15pm,,,,,,
87,Amelio Tilltt Jr.,Express,,5:45pm,6:00pm,6:15pm,6:30pm,,,,,7:30pm,,,,,,,,
88,BBOC,Regular,1234560,6:00pm,6:15pm,6:30pm,6:45pm,,,,,7:45pm,8:00pm,,,9:00pm,9:00pm,9:30pm,9:30pm,9:45pm
89,Amelio Tillett Jr.B,Regular to San Felipe,123456,6:15pm,6:30pm,6:45pm,7:00pm,,,,,8:00pm,8:15pm,,,,,,,
90,BBOC,Regular,1234560,6:30pm,6:45pm,7:00pm,7:15pm,,,,,8:15pm,8:30pm,,,9:30pm,9:30pm,10:00pm,10:00pm,10:15pm
91,Wilmer lino,Shuttle,,6:30am,6:45am,7:00pm,7:15pm,,,,,,,,,,,,,

